molecule_id,round,temperature,best_score,current_score,accepted,best_smiles
SMOL-0301,8,0.05,76.06,76.06,0,COc1cc(C(=O)O)nc(-c2c3c(cc(C)c2OC)N=NNN=C3)c1
SMOL-0451,1,1.0,73.31,71.75,7,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,2,0.6518,73.31,71.75,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,3,0.4249,73.31,70.52,1,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,4,0.277,73.31,70.52,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,5,0.1805,73.31,70.52,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,6,0.1177,73.31,70.52,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,7,0.0767,73.31,70.52,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0451,8,0.05,73.31,70.52,0,CCc1cc(OC)c(C)c(-c2c(C)cc(N)cc2S(N)(=O)=O)n1
SMOL-0401,1,1.0,71.88,71.79,5,CCc1ccccc1-c1cc(S(N)(=O)=O)cc(OC)n1
SMOL-0401,2,0.6518,72.26,71.92,4,CCc1ncc(Cl)cc1-c1nc(OC)cc(S(N)(=O)=O)c1Cl
SMOL-0401,3,0.4249,72.26,71.92,2,CCc1ncc(Cl)cc1-c1nc(OC)cc(S(N)(=O)=O)c1Cl
SMOL-0401,4,0.277,72.65,72.65,3,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl
SMOL-0401,5,0.1805,72.65,72.65,0,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl
SMOL-0401,6,0.1177,72.65,72.65,0,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl
SMOL-0401,7,0.0767,72.65,72.65,0,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl
SMOL-0401,8,0.05,72.65,72.65,0,CCc1nc(C)c(O)c(C)c1-c1nc(OC)c(F)c(S(N)(=O)=O)c1Cl
SMOL-0093,1,1.0,74.19,72.31,6,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,2,0.6518,74.19,73.59,3,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,3,0.4249,74.19,73.92,1,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,4,0.277,74.19,73.51,1,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,5,0.1805,74.19,73.51,0,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,6,0.1177,74.19,73.51,0,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,7,0.0767,74.19,73.51,0,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0093,8,0.05,74.19,73.51,0,COc1cc(S(N)(=O)=O)c(-c2cc(Cl)cc(N)n2)cc1Cl
SMOL-0134,1,1.0,71.33,71.33,4,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,2,0.6518,71.33,69.74,3,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,3,0.4249,71.33,70.41,2,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,4,0.277,71.33,70.41,0,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,5,0.1805,71.33,70.41,0,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,6,0.1177,71.33,70.41,0,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,7,0.0767,71.33,70.41,0,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
SMOL-0134,8,0.05,71.33,70.41,0,COc1cc(NC(C)=O)nc(-c2ccnc(C)c2C(=O)O)c1OC
